Symbol	Description
BSLKOP	Bluescope Steel Limited
BSLKOT	Bluescope Steel Limited
BSLKOU	Bluescope Steel Limited
BSN	Bisan Ltd
BSUB	BSUB
BSX	Blackstone Minerals Limited
BTC	BioTech Capital Ltd
BTE	BT Australian Equity Management
BTH	Bigtincan Holdings Limited
BTI	Bailador Technology Investments Limited
BTN	Brighton Mining Group Limited
BTR	Blackthorn Resources Ltd
BUB	Bubs Australia Limited
BUGG	BUGG
BUR	Burleson Energy Ltd
BUS	Bubalus Resources Limited
BUX	Buxton Resources Ltd
BUXO	Buxton Resources Limited
BUY	Bounty Oil & Gas NL
BVR	Bellavista Resources Ltd
BVS	Bravura Solutions Limited.
BWF	Blackwall Property Funds Limited
BWN	Bowen Energy Ltd
BWP	Bunnings Warehouse Property Trust
BXB	Brambles Ltd
BXBKOA	Brambles Limited
BXBKOB	Brambles Limited
BXBKOD	Brambles Limited
BXBKOP	Brambles Limited
BXBKOS	Brambles Limited
BXN	Bioxyne Limited
BYE	Byron Energy Limited
BYH	Bryah Resources Limited
BYHO	Bryah Resources Limited
C1X	Cosmos Exploration Limited
C29	C29 Metals Limited
C2FHA	C2FHA
C79	Chrysos Corporation Limited
C7A	Clara Resources Australia Ltd
CAA	Capral Aluminium Ltd
CAE	Cannindah Resources Limited
CAF	Centrepoint Alliance Ltd
CAG	Cape Range Wireless Ltd
CAI	Casinos Austria International
CAIO	Calidus Resources Limited
CAIOA	CAIOA
CAJ	Capitol Health Ltd
CAM	Clime Capital Ltd
CAMG	Clime Capital Limited
CAN	Cann Group Limited
CAQ	Cell Aquaculture Ltd
CAR	Carsales.com Limited.
CARKOA	Carsales.com Limited.
CARKOB	Carsales.com Limited.
CARKOF	Carsales.com Limited.
CAT	Catuity Inc (USA)
CAV	Carnavale Resources Ltd
CAY	Canyon Resources Ltd
CAZ	Cazaly Resources Ltd
CBA	Commonwealth Bank Ltd
CBAKOA	Commonwealth Bank Of Australia.
CBAKOC	Commonwealth Bank Of Australia.
CBAKOD	Commonwealth Bank Of Australia.
CBAKOE	Commonwealth Bank Of Australia.
CBAKOF	Commonwealth Bank Of Australia.
CBAKOG	Commonwealth Bank Of Australia.
CBAKOH	Commonwealth Bank Of Australia.
CBAKOI	Commonwealth Bank Of Australia.
CBAKOP	Commonwealth Bank Of Australia.
CBAKOQ	Commonwealth Bank Of Australia.
CBAKOS	Commonwealth Bank Of Australia.
CBAKOT	Commonwealth Bank Of Australia.
CBAKOX	Commonwealth Bank Of Australia.
CBAKOY	Commonwealth Bank Of Australia.
CBAMOA	Commonwealth Bank Of Australia.
CBAMOB	Commonwealth Bank Of Australia.
CBAMOP	Commonwealth Bank Of Australia.
CBAMOQ	Commonwealth Bank Of Australia.
CBAPG	Commonwealth Bank Of Australia.
CBAPI	Commonwealth Bank Of Australia.
CBAPJ	CBAPJ
CBAPK	CBAPK
CBAPL	CBAPL
CBAPM	CBAPM
CBE	Cobre Limited
CBH	CBH Resources Ltd
CBHO	CBHO
CBHOA	CBHOA
CBL	Cbl Corporation Limited
CBO	Cobra Resources Nl
CBY	Canterbury Resources Limited
CC9	Chariot Corporation Ltd
CCA	Chimpchange Limited
CCE	Clinical Cell Culture Ltd
CCG	Commschoice Group Limited
CCM	Cadoux Limited
CCO	CircleCom Ltd
CCOOA	CCOOA
CCP	Credit Corp Group Ltd
CCPKOA	Credit Corp Group Limited
CCPKOB	Credit Corp Group Limited
CCPKOC	Credit Corp Group Limited
CCPKOD	Credit Corp Group Limited
CCR	Credit Clear Limited
CCV	Cash Converters International Ltd
CCX	City Chic Collective Limited
CCZ	Castillo Copper Limited
CCZOA	CCZOA
CD1	Cordish Dixon Private Equity Fund I
CD2	Cordish Dixon Private Equity Fund Ii
CD3	Cordish Dixon Private Equity Fund Iii
CDA	Codan Ltd
CDD	Cardno Ltd
