Symbol	Description
F5DS	5-Day Mcap Hi-Lo S&P 500 Health Care
F5DT	5-Day Mcap Hi-Lo S&P 500 Energies
F5DU	5-Day Mcap Hi-Lo Volume Lt 100K
F5DV	5-Day Mcap Hi-Lo Volume GT 100K
F5DW	5-Day Mcap Hi-Lo S&P 500 Telecom Srvs
F5DX	5-Day Mcap Hi-Lo Overall
F5DY	5-Day Mcap Hi-Lo S&P 500 Consumer Disc
F5DZ	5-Day Mcap Hi-Lo Russell 3000
F5HA	5-Day Mcap Highs AMEX
F5HB	5-Day Mcap Highs S&P 500 Materials
F5HC	5-Day Mcap Highs Russell 2000
F5HF	5-Day Mcap Highs S&P 500 Financials
F5HG	5-Day Mcap Highs Russell 1000
F5HH	5-Day Mcap Highs Price GT $10
F5HI	5-Day Mcap Highs S&P 500 Industrials
F5HJ	5-Day Mcap Highs S&P 500 Utilities
F5HK	5-Day Mcap Highs S&P 500 Info Tech
F5HL	5-Day Mcap Highs Price Lt $10
F5HM	5-Day Mcap Highs S&P 500 Consumer Staples
F5HN	5-Day Mcap Highs NYSE
F5HO	5-Day Mcap Highs S&P 100
F5HP	5-Day Mcap Highs S&P 500
F5HQ	5-Day Mcap Highs Nasdaq
F5HR	5-Day Mcap Highs S&P 500 Real Estate
F5HS	5-Day Mcap Highs S&P 500 Health Care
F5HT	5-Day Mcap Highs S&P 500 Energies
F5HU	5-Day Mcap Highs Volume Lt 100K
F5HV	5-Day Mcap Highs Volume GT 100K
F5HW	5-Day Mcap Highs S&P 500 Telecom Srvs
F5HX	5-Day Mcap Highs Overall
F5HY	5-Day Mcap Highs S&P 500 Consumer Disc
F5HZ	5-Day Mcap Highs Russell 3000
F5LA	5-Day Mcap Lows AMEX
F5LB	5-Day Mcap Lows S&P 500 Materials
F5LC	5-Day Mcap Lows Russell 2000
F5LF	5-Day Mcap Lows S&P 500 Financials
F5LG	5-Day Mcap Lows Russell 1000
F5LH	5-Day Mcap Lows Price GT $10
F5LI	5-Day Mcap Lows S&P 500 Industrials
F5LJ	5-Day Mcap Lows S&P 500 Utilities
F5LK	5-Day Mcap Lows S&P 500 Info Tech
F5LL	5-Day Mcap Lows Price Lt $10
F5LM	5-Day Mcap Lows S&P 500 Consumer Staples
F5LN	5-Day Mcap Lows NYSE
F5LO	5-Day Mcap Lows S&P 100
F5LP	5-Day Mcap Lows S&P 500
F5LQ	5-Day Mcap Lows Nasdaq
F5LR	5-Day Mcap Lows S&P 500 Real Estate
F5LS	5-Day Mcap Lows S&P 500 Health Care
F5LT	5-Day Mcap Lows S&P 500 Energies
F5LU	5-Day Mcap Lows Volume Lt 100K
F5LV	5-Day Mcap Lows Volume GT 100K
F5LW	5-Day Mcap Lows S&P 500 Telecom Srvs
F5LX	5-Day Mcap Lows Overall
F5LY	5-Day Mcap Lows S&P 500 Consumer Disc
F5LZ	5-Day Mcap Lows Russell 3000
F6DA	6-Month Mcap Hi-Lo AMEX
F6DB	6-Month Mcap Hi-Lo S&P 500 Materials
F6DC	6-Month Mcap Hi-Lo Russell 2000
F6DF	6-Month Mcap Hi-Lo S&P 500 Financials
F6DG	6-Month Mcap Hi-Lo Russell 1000
F6DH	6-Month Mcap Hi-Lo Price GT $10
F6DI	6-Month Mcap Hi-Lo S&P 500 Industrials
F6DJ	6-Month Mcap Hi-Lo S&P 500 Utilities
F6DK	6-Month Mcap Hi-Lo S&P 500 Info Tech
F6DL	6-Month Mcap Hi-Lo Price Lt $10
F6DM	6-Month Mcap Hi-Lo S&P 500 Consumer Staples
F6DN	6-Month Mcap Hi-Lo NYSE
F6DO	6-Month Mcap Hi-Lo S&P 100
F6DP	6-Month Mcap Hi-Lo S&P 500
F6DQ	6-Month Mcap Hi-Lo Nasdaq
F6DR	6-Month Mcap Hi-Lo S&P 500 Real Estate
F6DS	6-Month Mcap Hi-Lo S&P 500 Health Care
F6DT	6-Month Mcap Hi-Lo S&P 500 Energies
F6DU	6-Month Mcap Hi-Lo Volume Lt 100K
F6DV	6-Month Mcap Hi-Lo Volume GT 100K
F6DW	6-Month Mcap Hi-Lo S&P 500 Telecom Srvs
F6DX	6-Month Mcap Hi-Lo Overall
F6DY	6-Month Mcap Hi-Lo S&P 500 Consumer Disc
F6DZ	6-Month Mcap Hi-Lo Russell 3000
F6HA	6-Month Mcap Highs AMEX
F6HB	6-Month Mcap Highs S&P 500 Materials
F6HC	6-Month Mcap Highs Russell 2000
F6HF	6-Month Mcap Highs S&P 500 Financials
F6HG	6-Month Mcap Highs Russell 1000
F6HH	6-Month Mcap Highs Price GT $10
F6HI	6-Month Mcap Highs S&P 500 Industrials
F6HJ	6-Month Mcap Highs S&P 500 Utilities
F6HK	6-Month Mcap Highs S&P 500 Info Tech
F6HL	6-Month Mcap Highs Price Lt $10
F6HM	6-Month Mcap Highs S&P 500 Consumer Staples
F6HN	6-Month Mcap Highs NYSE
F6HO	6-Month Mcap Highs S&P 100
F6HP	6-Month Mcap Highs S&P 500
F6HQ	6-Month Mcap Highs Nasdaq
F6HR	6-Month Mcap Highs S&P 500 Real Estate
F6HS	6-Month Mcap Highs S&P 500 Health Care
F6HT	6-Month Mcap Highs S&P 500 Energies
F6HU	6-Month Mcap Highs Volume Lt 100K
F6HV	6-Month Mcap Highs Volume GT 100K
F6HW	6-Month Mcap Highs S&P 500 Telecom Srvs
F6HX	6-Month Mcap Highs Overall
F6HY	6-Month Mcap Highs S&P 500 Consumer Disc
F6HZ	6-Month Mcap Highs Russell 3000
F6LA	6-Month Mcap Lows AMEX
F6LB	6-Month Mcap Lows S&P 500 Materials
F6LC	6-Month Mcap Lows Russell 2000
F6LF	6-Month Mcap Lows S&P 500 Financials
